seine_id,survey_id,lat,long,set_time,so_total,so_taken,pi_total,pi_taken,cu_total,cu_taken,co_total,co_taken,he_total,he_taken,ck_total,ck_taken
JE166N1,JE166,50.45951,-126.16958,2015-06-11 11:45:00 PDT,2000,30,50,4,4000,10,0,0,60,10,NA,NA
JE168N1,JE168,50.47959,-126.02629,2015-06-12 05:37:00 PDT,4,4,0,0,50,10,1,1,11,10,NA,NA
JE171N2,JE171,50.53988,-126.78291,2015-06-13 11:50:00 PDT,1000,30,0,0,900,10,6,6,0,0,NA,NA
JE172N4,JE172,50.47679,-126.02843,2015-06-14 08:50:00 PDT,600,30,30,10,600,10,0,0,1,1,NA,NA
JE173N1,JE173,50.45698,-126.16944,2015-06-14 11:20:00 PDT,1000,30,7,7,3000,10,0,0,20,10,NA,NA
JE174N1,JE174,50.49881,-126.21349,2015-06-14 14:05:00 PDT,300,30,2,2,700,10,0,0,0,0,NA,NA
JE175N1,JE175,50.52618,-126.38632,2015-06-15 05:20:00 PDT,7,7,0,0,1000,10,0,0,0,0,NA,NA
JE176N2,JE176,50.48035,-126.41265,2015-06-15 07:50:00 PDT,100,30,60,10,1000,10,0,0,1,0,NA,NA
JE177N2,JE177,50.54719,-126.67487,2015-06-15 11:30:00 PDT,100,30,0,0,500,10,0,0,0,0,NA,NA
JE178N1,JE178,50.55792,-126.73617,2015-06-15 14:00:00 PDT,300,30,40,10,500,10,1,1,6,6,NA,NA
JE179N1,JE179,50.58185,-126.71983,2015-06-16 06:12:00 PDT,100,30,200,10,200,10,0,0,0,0,NA,NA
JE180N2,JE180,50.59549,-126.69036,2015-06-16 08:30:00 PDT,6,6,200,10,400,10,3,2,1,1,NA,NA
JE181N2,JE181,50.54327,-126.81252,2015-06-16 15:30:00 PDT,700,30,200,9,1500,10,8,8,20,10,NA,NA
JE182N1,JE182,50.52491,-126.38617,2015-06-17 06:02:00 PDT,3,3,50,10,300,10,0,0,0,0,NA,NA
JE183N1,JE183,50.47943,-126.41631,2015-06-17 07:51:00 PDT,35,30,4,4,100,10,0,0,2,2,NA,NA
JE184N1,JE184,50.5463,-126.66727,2015-06-17 11:50:00 PDT,3,3,80,10,500,10,0,0,20,10,NA,NA
JE185N1,JE185,50.47909,-126.02584,2015-06-18 05:35:00 PDT,20,20,2,2,300,10,0,0,0,0,NA,NA
JE186N1,JE186,50.45747,-126.16879,2015-06-18 08:47:00 PDT,300,30,2,1,3000,10,1,0,0,0,NA,NA
JE187N1,JE187,50.49921,-126.20961,2015-06-18 11:15:00 PDT,17,17,20,10,300,10,0,0,0,0,NA,NA
JE188N1,JE188,50.58086,-126.72272,2015-06-18 13:23:00 PDT,4,4,200,10,6000,10,0,0,10,4,NA,NA
JE189N2,JE189,50.54362,-126.81951,2015-06-19 06:35:00 PDT,200,30,50,10,1000,10,0,0,1,1,NA,NA
JE190N1,JE190,50.55814,-126.73386,2015-06-19 09:51:00 PDT,200,30,20,10,400,10,0,0,8,8,NA,NA
JE191N1,JE191,50.60263,-126.70188,2015-06-19 14:19:00 PDT,50,30,100,10,200,10,1,1,6,6,NA,NA
JE192N1,JE192,50.5194,-126.40831,2015-06-20 06:20:00 PDT,30,30,200,10,300,10,0,0,4,4,NA,NA
