eventID,occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID
DE101N1,hakai-jsp-U324,fork length,105,mm,"NA"
DE140N1,hakai-jsp-U325,fork length,118,mm,"NA"
DE140N1,hakai-jsp-U427,fork length,129,mm,"NA"
DE140N1,hakai-jsp-U428,fork length,113,mm,"NA"
DE140N1,hakai-jsp-U429,fork length,106,mm,"NA"
DE140N1,hakai-jsp-U430,fork length,113,mm,"NA"
DE139N1,hakai-jsp-U441,fork length,100,mm,"NA"
DE139N1,hakai-jsp-U442,fork length,96,mm,"NA"
DE140N1,hakai-jsp-U433,fork length,108,mm,"NA"
DE140N1,hakai-jsp-U434,fork length,116,mm,"NA"
DE140N1,hakai-jsp-U435,fork length,106,mm,"NA"
DE139N1,hakai-jsp-U436,fork length,109,mm,"NA"
DE139N1,hakai-jsp-U437,fork length,94,mm,"NA"
DE140N1,hakai-jsp-U326,fork length,132,mm,"NA"
DE139N1,hakai-jsp-U443,fork length,95,mm,"NA"
DE139N1,hakai-jsp-U444,fork length,96,mm,"NA"
DE139N1,hakai-jsp-U445,fork length,95,mm,"NA"
DE149N1,hakai-jsp-U446,fork length,100,mm,"NA"
DE149N1,hakai-jsp-U447,fork length,96,mm,"NA"
DE149N1,hakai-jsp-U448,fork length,110,mm,"NA"
DE149N1,hakai-jsp-U449,fork length,94,mm,"NA"
DE139N1,hakai-jsp-U438,fork length,87,mm,"NA"
DE139N1,hakai-jsp-U439,fork length,95,mm,"NA"
DE149N1,hakai-jsp-U440,fork length,108,mm,"NA"
DE149N1,hakai-jsp-U451,fork length,110,mm,"NA"
DE149N1,hakai-jsp-U452,fork length,108,mm,"NA"
DE149N1,hakai-jsp-U453,fork length,98,mm,"NA"
DE139N1,hakai-jsp-U327,fork length,110,mm,"NA"
DE149N1,hakai-jsp-U402,fork length,106,mm,"NA"
DE137N1,hakai-jsp-U403,fork length,97,mm,"NA"
DE137N1,hakai-jsp-U404,fork length,100,mm,"NA"
DE137N1,hakai-jsp-U405,fork length,109,mm,"NA"
DE137N1,hakai-jsp-U406,fork length,126,mm,"NA"
DE137N1,hakai-jsp-U407,fork length,95,mm,"NA"
DE149N1,hakai-jsp-U450,fork length,104,mm,"NA"
DE137N1,hakai-jsp-U461,fork length,103,mm,"NA"
DE137N1,hakai-jsp-U462,fork length,100,mm,"NA"
DE137N1,hakai-jsp-U463,fork length,96,mm,"NA"
DE137N1,hakai-jsp-U464,fork length,119,mm,"NA"
DE137N1,hakai-jsp-U465,fork length,108,mm,"NA"
