seine_id,survey_id,lat,long,set_time,so_total,pi_total,cu_total,co_total,he_total,ck_total
DE379N1,DE379,50.237837,-125.396111,2017-07-04 07:45:00 PDT,0,0,145,0,0,0
DE375N1,DE375,50.27485,-125.377707,2017-07-04 11:15:00 PDT,4,8,1962,0,2,2
DE380N1,DE380,50.307981,-125.320206,2017-07-05 07:40:00 PDT,2,1,126,0,0,0
DE381N1,DE381,50.305134,-125.337052,2017-07-10 08:15:00 PDT,0,0,63,0,0,0
DE455AN4,DE455A,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE455AN3,DE455A,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE455AN2,DE455A,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE455AN1,DE455A,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE455BN8,DE455B,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE455BN7,DE455B,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE455BN6,DE455B,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE455BN5,DE455B,NA,NA,NA,NA,NA,NA,NA,NA,NA
JE100N1,JE100,NA,NA,2015-05-20 07:10:00 PDT,0,NA,NA,NA,NA,NA
JE101N1,JE101,50.50535,-126.24163,2015-05-20 09:50:00 PDT,300,1,20,6,4,NA
JE102N1,JE102,NA,NA,NA,0,NA,NA,NA,NA,NA
JE102N2,JE102,50.47479,-126.03259,2015-05-21 06:20:00 PDT,100,0,30,3,0,NA
JE103N1,JE103,NA,NA,NA,0,NA,NA,NA,NA,NA
JE103N2,JE103,NA,NA,2015-05-21 13:40:00 PDT,0,NA,NA,NA,NA,NA
JE104N1,JE104,50.45614,-126.11933,2015-05-22 06:40:00 PDT,600,0,1,4,0,NA
JE105N1,JE105,NA,NA,NA,0,NA,NA,NA,NA,NA
JE105N2,JE105,50.48078,-126.41037,2015-05-22 09:40:00 PDT,150,0,3,150,0,NA
JE106N3,JE106,NA,NA,NA,0,NA,NA,NA,NA,NA
JE106N2,JE106,NA,NA,NA,0,NA,NA,NA,NA,NA
JE106N1,JE106,NA,NA,NA,0,NA,NA,NA,NA,NA
JE106N4,JE106,50.52222,-126.39167,2015-05-22 13:50:00 PDT,150,0,2,10,1,NA
JE107N1,JE107,NA,NA,NA,0,NA,NA,NA,NA,NA
JE107N2,JE107,50.54648,-126.67096,2015-05-23 06:00:00 PDT,300,0,0,0,0,NA
JE108N1,JE108,NA,NA,NA,0,NA,NA,NA,NA,NA
JE108N2,JE108,50.54039,-126.78096,2015-05-23 09:00:00 PDT,200,0,25,8,5,NA
JE109N2,JE109,NA,NA,NA,0,NA,NA,NA,NA,NA
JE109N1,JE109,NA,NA,NA,0,NA,NA,NA,NA,NA
JE109N3,JE109,50.55787,-126.73532,2015-05-23 12:35:00 PDT,1200,0,20,0,0,NA
JE110N1,JE110,NA,NA,NA,0,NA,NA,NA,NA,NA
JE110N2,JE110,50.60101,-126.70394,2015-05-24 06:25:00 PDT,400,0,7,1,0,NA
JE112N1,JE112,50.47696,-126.0273,2015-05-24 14:00:00 PDT,400,0,2,0,0,NA
JE113N1,JE113,50.49853,-126.21348,2015-05-25 05:40:00 PDT,300,0,150,0,4,NA
JE114N1,JE114,50.52363,-126.39046,2015-05-25 09:50:00 PDT,800,2,50,4,0,NA
JE115N1,JE115,50.48103,-126.41291,2015-05-25 13:00:00 PDT,40,0,15,1,3,NA
JE116N1,JE116,50.45622,-126.11838,2015-05-26 05:45:00 PDT,1000,0,200,1,5,NA
JE117N1,JE117,NA,NA,NA,0,NA,NA,NA,NA,NA
JE117N2,JE117,50.54672,-126.67256,2015-05-26 09:35:00 PDT,1000,0,30,1,0,NA
JE118N1,JE118,50.53989,-126.78256,2015-05-26 12:55:00 PDT,1500,1,100,0,1,NA
JE119N1,JE119,50.55951,-126.75326,2015-05-27 06:00:00 PDT,100,0,30,20,0,NA
JE122N1,JE122,NA,NA,NA,0,NA,NA,NA,NA,NA
JE122N2,JE122,50.53957,-126.7781,2015-05-27 13:15:00 PDT,2000,0,200,10,3,NA
JE123N2,JE123,NA,NA,NA,0,NA,NA,NA,NA,NA
JE123N1,JE123,NA,NA,NA,0,NA,NA,NA,NA,NA
JE123N3,JE123,50.57078,-126.70066,2015-05-28 05:35:00 PDT,1000,0,200,10,10,NA
JE126N1,JE126,50.4838,-126.01069,2015-05-29 06:55:00 PDT,40,0,200,1,10,NA
JE127N1,JE127,NA,NA,2015-05-29 11:30:00 PDT,0,0,0,0,0,NA
JE128N1,JE128,NA,NA,NA,0,NA,NA,NA,NA,NA
JE128N2,JE128,50.50733,-126.24336,2015-05-30 06:30:00 PDT,300,0,300,1,0,NA
JE129N2,JE129,NA,NA,NA,0,NA,NA,NA,NA,NA
JE129N1,JE129,NA,NA,NA,0,NA,NA,NA,NA,NA
JE129N3,JE129,50.45679,-126.16458,2015-05-30 09:25:00 PDT,600,0,400,4,5,NA
JE131N1,JE131,50.48405,-126.3987,2015-05-30 15:05:00 PDT,1000,10,300,1,20,NA
JE132N1,JE132,50.52152,-126.40028,2015-05-31 06:45:00 PDT,100,0,200,0,3,NA
JE133N1,JE133,50.54605,-126.66218,2015-05-31 09:45:00 PDT,400,0,200,0,20,NA
JE134N1,JE134,50.53808,-126.77494,2015-05-31 12:30:00 PDT,400,0,100,1,0,NA
JE136N1,JE136,50.60051,-126.70319,2015-06-01 05:30:00 PDT,400,0,10,0,0,NA
JE137N1,JE137,50.57871,-126.72129,2015-06-01 07:40:00 PDT,25,1,300,5,1,NA
